Sheet Name,SESSION CALENDAR - All 13 Remaining Sessions
Session #,Sprint,Week,Date,Day,Time,Duration (min),Target Stories,Pre-Prep Deadline,Status,Notes
3,1,2,2025-11-12,Tuesday,14:00,60,7,2025-11-10,🟡 This Week,Focus on quick wins
4,2,1,2025-11-19,Tuesday,14:00,60,7,2025-11-17,🟢 Upcoming,Gear Management Backend
5,2,1,2025-11-21,Thursday,14:00,60,7,2025-11-19,🟢 Upcoming,Gear Management Frontend
6,2,2,2025-11-26,Tuesday,14:00,60,7,2025-11-24,🟢 Upcoming,Map & Location
7,3,1,2025-12-03,Tuesday,14:00,60,7,2025-12-01,🟢 Upcoming,Departure Operations
8,3,1,2025-12-05,Thursday,14:00,60,7,2025-12-03,🟢 Upcoming,Catches & Preferences
9,3,2,2025-12-10,Tuesday,14:00,60,7,2025-12-08,🟢 Upcoming,Backend & Forms
10,4,1,2025-12-17,Tuesday,14:00,60,7,2025-12-15,🟢 Upcoming,Authentication
11,4,1,2025-12-19,Thursday,14:00,60,7,2025-12-17,🟢 Upcoming,Infrastructure
12,4,2,2025-12-24,Tuesday,14:00,60,7,2025-12-22,🟢 Upcoming,Buffer/Cleanup
13,5,1,2026-01-07,Tuesday,14:00,60,7,2026-01-05,🟢 Upcoming,Final push
14,5,1,2026-01-09,Thursday,14:00,60,7,2026-01-07,🟢 Upcoming,Final push
15,5,2,2026-01-14,Tuesday,14:00,60,7,2026-01-12,🟢 Upcoming,Completion

INSTRUCTIONS:,,,,,,,,,,
Adjust dates if needed based on your actual sprint schedule,,,,,,,,,,
Status will update as sessions complete (manually change from 🟢 to ⚪),,,,,,,,,,

---END CALENDAR---,,,,,,,,,,

Sheet Name,SESSION 3 - CANDIDATE STORIES (NEXT SESSION)
Priority,Story ID,Title,Epic,SP,Dependencies,Complexity,Pre-read Link,Ready?
1,SSF-140,[MOB] Vessel's Empty Gear Management Screen,SSF-93,2,None,Low,[Figma link],Yes - Review only
2,SSF-179,[BACK] Swagger setup,SSF-84,2,None,Low,[Tech docs],
3,SSF-200,[MOB] Tech: Ajouter Crashlytics,SSF-84,1,None,Low,[Firebase docs],
4,SSF-155,[MOB] Vessel selection quick access,SSF-94,2,SSF-174,Low,[Mockup],
5,SSF-163,[MOB] Display the menu,SSF-162,2,None,Low,[Figma],
6,SSF-160,[MOB] Fishing Trips Widget,SSF-94,1,None,Low,[Mockup],
7,SSF-203,[MOB] Implement Refresh Session,SSF-96,2,SSF-184,Medium,[Flow diagram],

SESSION STRATEGY:,Focus on quick wins (low complexity) to build velocity momentum,,,,,,,
TOTAL SP:,12 (buffer included),,,,,,,

---END SESSION 3---,,,,,,,

Sheet Name,SESSION 4 - CANDIDATE STORIES
Priority,Story ID,Title,Epic,SP,Dependencies,Complexity
1,SSF-147,[BACK] Register new gear,SSF-93,3,None,Medium
2,SSF-148,[BACK] List vessel's gear - New Gear,SSF-93,3,SSF-147,Medium
3,SSF-149,[BACK] List vessel's gear - Retrieval,SSF-93,3,SSF-148,Medium
4,SSF-150,[BACK] Edit Gear,SSF-93,3,SSF-147,Medium
5,SSF-151,[BACK] Delete Gear,SSF-93,3,SSF-147,Medium
6,SSF-152,[BACK] Error Management / Security,SSF-93,2,None,Medium
7,SSF-141,[MOB] Register new gear - Init Form,SSF-93,3,SSF-147,Medium

SESSION STRATEGY:,Backend-focused to establish Gear API foundation,,,,,
TOTAL SP:,20,,,,,

---END SESSION 4---,,,,,

Sheet Name,SESSION 5 - CANDIDATE STORIES
Priority,Story ID,Title,Epic,SP,Dependencies,Complexity
1,SSF-142,[MOB] Register new gear - Form submission,SSF-93,3,SSF-141,Medium
2,SSF-143,[MOB] Register new gear - Characteristics,SSF-93,5,SSF-142,High
3,SSF-144,[MOB] Vessel's Gear Screen - List,SSF-93,2,SSF-149,Low
4,SSF-145,[MOB] Edit Gear,SSF-93,2,SSF-150,Low
5,SSF-146,[MOB] Delete Gear,SSF-93,2,SSF-151,Low
6,SSF-202,[MOB] Vessel selection Errors,SSF-96,3,None,Medium
7,SSF-188,[MOB] Error Management / Messages,SSF-93,2,None,Medium

SESSION STRATEGY:,Complete Gear Management mobile,,,,,
TOTAL SP:,19,,,,,

---END SESSION 5---,,,,,

Sheet Name,SESSIONS 6-15 - CANDIDATE STORIES (Summary)
Session,Epic Focus,Key Stories,Total SP,Complexity,Notes
6,Map & Location,SSF-135 to SSF-139,25,High,May need 2 sessions for complex map features
7,Departure Ops,SSF-189 to SSF-195,28,High,Critical functionality - high complexity
8,Catches,SSF-196 to SSF-210,20,Medium,Fishing operations flow
9,Backend & Forms,SSF-211 to SSF-215 + Auth,22,Medium,Backend completion
10,Authentication,SSF-177 SSF-185 SSF-182 +,20,High,Complex auth scenarios
11,Infrastructure,SSF-186 SSF-187 + CI/CD,17,Medium,DevOps setup
12,Buffer,TBD based on slippage,Variable,Variable,Flex session for catch-up
13-15,Final Push,Remaining stories,Variable,Variable,Complete all 84 stories

---END SESSIONS 6-15---,,,,,

Sheet Name,PRE-SESSION CHECKLIST TEMPLATE
,SESSION # ___ PREP CHECKLIST,,,,,
,Target Date: ___________,Epic: ___________,Stories: ___,,,
,Due: 48h before session,,,,,

DOCUMENTATION (PM + BA),,Status,Owner,Due Date,Link/Notes
Business rules documented for all stories,,☐,PM,,,
API specs available for backend stories,,☐,Tech Lead,,,
Data model reviewed,,☐,Tech Lead,,,
