Category,Subcategory,Gear Type Name,Code,Required Characteristics,Characteristic 1 - What It Means,Characteristic 2 - What It Means,Characteristic 3 - What It Means,Registration Approach Recommendation,Key Questions to Resolve,Complexity Rating,Implementation Notes
TRAWLS,Single trawl,Bottom otter trawl,OTB,"Model of trawl (optional) + Perimeter of opening","Model: Optional text identifier for the specific trawl design/brand","Perimeter: Mandatory measurement in metres - circumference of the trawl net opening where fish enter",N/A,Gear Set Model - Register once with optional model identifier,"1. Should ""model"" be free text or dropdown list? 2. How to validate perimeter values (min/max)?",Simple,"Single registration covers the gear. Model field helps fishers distinguish between different trawls of same type."
TRAWLS,Single trawl,Nephrops trawl,TBN,"Model of trawl (optional) + Perimeter of opening","Model: Optional text identifier for the specific trawl design","Perimeter: Mandatory - opening circumference in metres (typically smaller than general trawls)",N/A,Gear Set Model,"1. Same as OTB - free text vs dropdown for model? 2. Any species-specific validation rules?",Simple,Specialized for Nephrops (Norway lobster) - may have typical size ranges to validate against.
TRAWLS,Single trawl,Shrimp trawl,TBS,"Model of trawl (optional) + Perimeter of opening","Model: Optional trawl design identifier","Perimeter: Mandatory - net opening circumference in metres",N/A,Gear Set Model,"1. Model field consistency across all trawl types? 2. Typical size ranges for shrimp trawls?",Simple,Smaller opening than general trawls typically. Consider validation ranges.
TRAWLS,Single trawl,Bottom pair trawl,PTB,"Model of trawl (optional) + Perimeter of opening","Model: Optional design identifier","Perimeter: Mandatory - opening size in metres (operated by two vessels)",N/A,Gear Set Model,"1. Should system indicate this requires 2 vessels? 2. Coordination with other vessel's gear?",Simple,"Pair trawling = 2 vessels. Consider if registration should link to partner vessel or just note the requirement."
TRAWLS,Beam trawl,Beam trawl,TBB,Beam length of each beam + Number of beams towed,"Beam length: Mandatory - length in metres of each individual rigid beam frame","Number of beams: Mandatory count - how many beams the vessel tows simultaneously",N/A,Gear Set Model - Register with per-beam dimension + total count,"1. If beams have different lengths, register as separate gear entries? 2. Can number of beams change between trips?",Medium,"Multiple beams common. If all beams same length = one entry. Mixed lengths = multiple entries or average?"
TRAWLS,Multiple trawl,Twin bottom otter trawl,OTT,"Model (optional) + Perimeter per trawl + Number of trawls","Model: Optional trawl design identifier","Perimeter: Mandatory - opening size per individual trawl in metres","Number of trawls: Mandatory count - typically 2 for twin trawl",Gear Set Model - One entry representing the multi-trawl setup,"1. Must there always be exactly 2 trawls (twin)? 2. If trawls have different perimeters, how to handle?",Medium,"Twin = typically 2 trawls towed simultaneously. Register as one setup with dimensions per trawl."
TRAWLS,Multiple trawl,Multiple bottom otter trawl,OTP,"Model (optional) + Perimeter per trawl + Number of trawls","Model: Optional design identifier","Perimeter: Mandatory - size per individual trawl in metres","Number of trawls: Mandatory count - 3 or more trawls",Gear Set Model,"1. What's the maximum number of trawls typically used? 2. Same as OTT - handling different sizes?",Medium,"More than 2 trawls. Same considerations as OTT but potentially more complex with 3+ units."
TRAWLS,Multiple trawl,Bottom trawls (not elsewhere specified),TB,"Model (optional) + Perimeter per trawl + Number of trawls","Model: Optional identifier","Perimeter: Mandatory per trawl in metres","Number of trawls: Mandatory count",Gear Set Model,"1. This is a catch-all category - how to guide fishers to more specific types if known?",Medium,Catch-all for trawls not fitting other categories. May need help text to guide proper classification.
TRAWLS,Mid-water trawl,Mid-water otter trawl,OTM,"Model of trawl (optional) + Perimeter of opening","Model: Optional design identifier","Perimeter: Mandatory - opening circumference in metres (operates in water column, not on bottom)",N/A,Gear Set Model,"1. Any different validation rules vs bottom trawls? 2. Should depth range be captured?",Simple,"Mid-water = pelagic fishing. Opening may be larger than bottom trawls. Consider if depth/target species info useful."
TRAWLS,Mid-water trawl,Mid-water pair trawl,PTM,"Model of trawl (optional) + Perimeter of opening","Model: Optional identifier","Perimeter: Mandatory - opening size in metres (pair operation in mid-water)",N/A,Gear Set Model,"1. Link to partner vessel like PTB? 2. Coordination requirements?",Simple,Pair operation in mid-water. Similar considerations to PTB.
SEINES,Seines,Danish anchor seine,SDN,Overall length + Maximum height of seine lines,"Overall length: Mandatory - total length of seine rope/line in metres","Maximum height: Mandatory - vertical height of the net in metres",N/A,Gear Set Model,"1. Length = just rope or rope + net? 2. Height measured when deployed or maximum possible?",Medium,"Seine = encircling net with ropes. Length includes long rope lines, height is net depth."
SEINES,Seines,Scottish seine (fly dragging),SSC,Overall length + Maximum height of seine lines,"Overall length: Mandatory - total seine line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,"1. Difference from Danish seine in measurements? 2. Any Scotland-specific rules?",Medium,Technique differs from Danish seine but measurements similar.
SEINES,Seines,Pair seine,SPR,Overall length + Maximum height of seine lines,"Overall length: Mandatory - seine line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,"1. Two vessels - link registrations? 2. Each vessel registers separately or one lead vessel?",Medium,Operated by two vessels. Consider vessel coordination implications.
SEINES,Seines,Seine nets (not elsewhere specified),SX,Overall length + Maximum height of seine lines,"Overall length: Mandatory - line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,1. Guide to more specific seine types when possible?,Medium,Catch-all for unspecified seines. Provide guidance to classify more specifically.
SEINES,Seines,Boat or vessel seine,SV,Overall length + Maximum height of seine lines,"Overall length: Mandatory - line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,1. What distinguishes this from other seine types?,Medium,Specific seine variant. Clarify distinguishing features.
SEINES,Seines,Beach seine,BS,Overall length + Maximum height of seine lines,"Overall length: Mandatory - line length in metres","Maximum height: Mandatory - net height in metres",N/A,Gear Set Model,"1. Shore-based operation - different validation? 2. Typically smaller scale?",Medium,"Shore-based seining. May have different typical size ranges. One end stays on shore."
SURROUNDING NETS,Surrounding nets,Purse seine,PS,Length + (Maximum) height of nets,"Length: Mandatory - total net length in metres when fully extended","Height: Mandatory - maximum depth the net reaches in metres",N/A,Gear Set Model,"1. Large scale gear - validate against vessel size? 2. ""Maximum"" height = deepest point?",Medium,"Large encircling net that ""purses"" closed at bottom. Significant gear - may want vessel size checks."
SURROUNDING NETS,Surrounding nets,One boat operated purse seine,PS1,Length + (Maximum) height of nets,"Length: Mandatory - net length in metres","Height: Mandatory - maximum depth in metres",N/A,Gear Set Model,1. Typically smaller than two-boat version?,Medium,Single vessel operation. May have different size characteristics than PS2.
SURROUNDING NETS,Surrounding nets,Two boat operated purse seine,PS2,Length + (Maximum) height of nets,"Length: Mandatory - net length in metres","Height: Mandatory - maximum depth in metres",N/A,Gear Set Model,"1. Vessel coordination considerations? 2. Larger scale than PS1?",Medium,Two vessel operation. Coordination and size considerations.
SURROUNDING NETS,Surrounding nets,Without purse lines (lampara),LA,Length + (Maximum) height of nets,"Length: Mandatory - net length in metres","Height: Mandatory - net depth in metres",N/A,Gear Set Model,1. Different closing mechanism - affects measurements?,Medium,"Lampara-style net without purse mechanism. Traditional Mediterranean gear."
SURROUNDING NETS,Surrounding nets,Surrounding nets (not elsewhere specified),SUX,Length + (Maximum) height of nets,"Length: Mandatory - net length in metres","Height: Mandatory - net depth in metres",N/A,Gear Set Model,1. Guide to specific types when known?,Medium,Catch-all category. Encourage specific classification.
